ADM_TERM,AUB_ID,Gpa upon admission,ADM_FACULTY,ADM_DEGREE,ADM_PROGRAM,ADM_MAJOR,SAVAMCD_PRIM_COLL_DESC,GPA,GRAD_DEGREE,GRAD_FACULTY,GRAD_MAJOR,GRAD_PROGRAM,GRAD_TERM
201320,106,3.2,SB,BBA,BBA-BUADM,BADM,Haigazian University,80.9,BBA,SB,BADM,BBA-BUADM,201520
202020,107,2.74,EA,BEN,BEN-ECMP,ECMP,"St.Joseph Univ.(USJ),Beirut",0,,,,,
201910,108,2.16,AG,BSA,BSA-AGRI,AGRI,Beirut Arab University,75.3,BSA,AG,AGRI,BSA-AGRI,202220
202120,109,3.34,HS,BS,BS-MLSP,MLSP,Balamand University,3.8,BS,HS,MLSP,BS-MLSP,202320
202010,110,4,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",3.8,BEN,EA,ECMP,BEN-ECMP,202230
201810,111,3.78,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",87.2,BBA,SB,BADM,BBA-BUADM,201930
201310,112,3.7,SB,BBA,BBA-BUADM,BADM,Rafic Hariri University,81.1,BBA,SB,BADM,BBA-BUADM,201520
201310,113,3.75,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",84.7,BEN,EA,EECE,BEN-EECE,201530
202110,114,2.53,HS,BS,BS-MLSP,MLSP,"St.Joseph Univ.(USJ),Beirut",3.2,,,,,202410
201410,115,3.43,AS,BA,BA-SART,SART,University of Georgia,81.6,BFA,EA,GRPD,BFA-GRPD,201820
201810,116,3.81,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",81.7,BBA,SB,BADM,BBA-BUADM,201930
201210,117,3.4,SB,BBA,BBA-BUADM,BADM,Princess Sumaya University for Technology,76.8,BBA,SB,BADM,BBA-BUADM,201330
201810,118,3.2,AS,BS,BS-BIOL,BIOL,"Leb. Am. University,Ras Beirut",82.2,BS,AS,BIOL,BS-BIOL,201920
201210,119,3.7,EA,BEN,BEN-ECIV,ECIV,Balamand University,86,BEN,EA,ECIV,BEN-ECIV,201420
201810,120,2.83,AG,BS,BS-AGBU,AGBU,"Antonine University,Baabda",79.5,BS,AG,AGBU,BS-AGBU,202020
201410,121,3.36,SB,BBA,BBA-BUADM,BUADM,"Leb. Am. University,Ras Beirut",76.3,BBA,SB,BADM,BBA-BUADM,201610
201710,122,3.22,EA,BAR,BAR-ARCH,ARCH,Beirut Arab University,83.5,BAR,EA,ARCH,BAR-ARCH,202120
201320,123,3.67,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",83.6,BEN,EA,EMCH,BEN-EMCH,201630
202210,124,3.64,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",3.8,,,,,202495
201210,125,3.9,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",85.6,BBA,SB,BADM,BBA-BUADM,201420
202110,126,3.02,AG,BSA,BSA-AGRI,AGRI,"Univ.St.Esprit,Kaslik",3.4,,,,,202410
201310,127,3.24,AG,BS,BS-AGBU,AGBU,Rafic Hariri University,71.4,BS,AG,AGBU,BS-AGBU,201610
202010,128,3.4,SB,BBA,BBA-BUADM,BADM,Rafic Hariri University,3.6,BBA,SB,BADM,BBA-BUADM,202220
201610,129,3.47,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",84.1,BEN,EA,EMCH,BEN-EMCH,201920
201820,130,2.83,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",71,BS,AG,NTDT,BS-NTDT,202020
202310,131,3.56,AS,BS,BS-BIOL,BIOL,"Leb. Am. University,Ras Beirut",4,,,,,202410
201210,132,3.28,SB,BBA,BBA-BUADM,BADM,Haigazian University,75.1,BBA,SB,BADM,BBA-BUADM,201320
201220,133,3.79,EA,BEN,BEN-EECE,EECE,Beirut Arab University,79.7,BEN,EA,EECE,BEN-EECE,201520
202110,134,3.42,AS,BA,BA-POLS,POLS,"Leb. Am. University,Ras Beirut",3.8,BA,AS,POLS,BA-POLS,202320
201310,135,2.34,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",75,BS,AG,NTDT,BS-NTDT,201510
201410,136,3.55,AS,BS,BS-PHYS,PHYS,"N.D.University, Louaize",82.7,BS,AS,PHYS,BS-PHYS,201520
202310,137,4,AG,BS,BS-AGBU,AGBU,Uni.of N. Carolina at Ashville,4.1,,,,,202495
201510,138,3.78,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",85.2,BEN,EA,EMCH,BEN-EMCH,201730
201610,139,3.67,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",77.6,BEN,EA,ECMP,BEN-ECMP,201910
202010,140,3.8,AS,BS,BS-CMPS,CMPS,Leb.University,4.1,,,,,202195
201210,141,3.43,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",77.3,BBA,SB,BADM,BBA-BUADM,201410
201420,142,3.62,AS,BS,BS-BIOL,BIOL,"Leb. Am. University,Ras Beirut",83.6,BS,AS,BIOL,BS-BIOL,201520
201710,143,3.16,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",85.3,BEN,EA,ECMP,BEN-ECMP,201930
201210,144,3.79,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",79.3,BBA,SB,BADM,BBA-BUADM,201420
202220,145,2.86,EA,BEN,BEN-EECE,EECE,"St.Joseph Univ.(USJ),Beirut",3.1,,,,,202410
201510,146,3.93,EA,BEN,BEN-ECIV,ECIV,"Leb. Am. University,Ras Beirut",91.8,BEN,EA,ECIV,BEN-ECIV,201820
201610,147,3.96,AS,BA,BA-PHIL,PHIL,"Leb. Am. University,Ras Beirut",87.9,BA,AS,PHIL,BA-PHIL,201820
202020,148,3.09,AG,BS,BS-NTDT,NTDT,"N.D.University, Louaize",3.7,BS,AG,NTDT,BS-NTDT,202210
201210,149,3.59,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",77.7,BBA,SB,BADM,BBA-BUADM,201330
202220,150,3.81,AS,BS,BS-CMPS,CMPS,"Leb. Am. University,Ras Beirut",3,,,,,202330
201510,151,3,AS,BA,BA-SART,SART,Leb.University,75,BA,AS,SART,BA-SART,201820
202210,152,2.59,AG,BSA,BSA-AGRI,AGRI,Balamand University,2.5,,,,,202495
201310,153,3.3,EA,BEN,BEN-ECMP,ECMP,"Leb. Am. University,Ras Beirut",80.8,BEN,EA,EECE,BEN-EECE,201620
202120,154,3.4,SB,BBA,BBA-BUADM,BADM,Beirut Arab University,2.6,,,,,202495
201810,155,3.24,EA,BFA,BFA-GRPD,GRPD,Universite Antonine,70.5,,,,,202020
201310,156,2.84,AS,BS,BS-MATS,MATS,Leb.University,76.7,BS,AS,MATS,BS-MATS,202030
201810,157,3.38,EA,BEN,BEN-ECIV,ECIV,Beirut Arab University,77.3,BEN,EA,ECIV,BEN-ECIV,202120
201220,158,3.63,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",84.8,BBA,SB,BADM,BBA-BUADM,201410
202210,159,3.7,AG,BSA,BSA-AGRI,AGRI,Balamand University,4,,,,,202410
202210,160,2.65,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",2.7,BBA,SB,BADM,BBA-BUADM,202320
201620,161,3.02,AS,BS,BS-BIOL,BIOL,Leb.University,82.3,BS,AS,BIOL,BS-BIOL,201910
202110,162,3.74,EA,BEN,BEN-INDE,INDE,"Leb. Am. University,Ras Beirut",4,BEN,EA,INDE,BEN-INDE,202220
201710,163,3.68,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",79.4,BBA,SB,BADM,BBA-BUADM,201910
201510,164,3.4,AS,BA,BA-SOAN,SOAN,"Leb. Am. University,Ras Beirut",81.4,BA,AS,SOAN,BA-SOAN,201620
201610,165,3.57,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",79.5,BBA,SB,BADM,BBA-BUADM,201810
201610,166,3.14,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",79.1,BAR,EA,ARCH,BAR-ARCH,201920
201710,167,3.1,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",78.7,BAR,EA,ARCH,BAR-ARCH,202120
202310,168,3.06,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",3.6,,,,,202495
201410,169,3.8,EA,BEN,BEN-ECIV,ECIV,Haigazian University,77.5,BEN,EA,ECIV,BEN-ECIV,201630
201510,170,3.6,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",83.7,BBA,SB,BADM,BBA-BUADM,201710
202220,171,3.75,AG,BS,BS-AGBU,AGBU,Hariri Canadian University,3.7,,,,,202495
202110,172,2.83,AG,BSA,BSA-AGRI,AGRI,Lebanese International Univ.,3.2,BSA,AG,AGRI,BSA-AGRI,202320
201910,173,3.46,AS,BA,BA-ECON,ECON,"Leb. Am. University,Ras Beirut",80.4,BA,AS,ECON,BA-ECON,202110
201210,174,3.66,EA,BEN,BEN-EECE,EECE,Beirut Arab University,80.7,BEN,EA,EECE,BEN-EECE,201520
202210,175,2.7,AS,BS,BS-BIOL,BIOL,Universite de Paris,4.1,BS,AS,BIOL,BS-BIOL,202320
201810,176,2.02,NU,BSN,BSN-NURS,NURS,Balamand University,67.2,,,,,201910
201210,177,3.11,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",72.2,BEN,EA,EMCH,BEN-EMCH,201730
201420,178,3.09,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",74,BS,AG,NTDT,BS-NTDT,201610
